created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-04-15 08:25:06 UTC,377,25.70,"73.10

",,,,
2021-04-15 08:25:23 UTC,378,25.70,"73.10

",,,,
2021-04-15 08:25:40 UTC,379,25.60,"73.20

",,,,
2021-04-15 08:25:55 UTC,380,25.60,"73.30

",,,,
2021-04-15 08:26:11 UTC,381,25.60,"73.00

",,,,
2021-04-15 08:26:27 UTC,382,25.60,"73.20

",,,,
2021-04-15 08:26:44 UTC,383,25.60,"73.30

",,,,
2021-04-15 08:26:59 UTC,384,25.60,"73.20

",,,,
2021-04-15 08:27:15 UTC,385,25.60,"73.30

",,,,
2021-04-15 08:27:31 UTC,386,25.60,"73.30

",,,,
2021-04-15 08:27:47 UTC,387,25.50,"73.30

",,,,
2021-04-15 08:28:03 UTC,388,25.50,"73.40

",,,,
2021-04-15 08:28:20 UTC,389,25.50,"73.40

",,,,
2021-04-15 08:28:36 UTC,390,25.50,"73.50

",,,,
2021-04-15 08:28:53 UTC,391,25.50,"73.60

",,,,
2021-04-15 08:29:08 UTC,392,25.50,"73.60

",,,,
2021-04-15 08:29:24 UTC,393,25.50,"73.70

",,,,
2021-04-15 08:29:40 UTC,394,25.50,"73.80

",,,,
2021-04-15 08:29:56 UTC,395,25.40,"73.70

",,,,
2021-04-15 08:30:12 UTC,396,25.40,"73.80

",,,,
2021-04-15 08:30:27 UTC,397,25.40,"73.90

",,,,
2021-04-15 08:30:42 UTC,398,25.40,"73.80

",,,,
2021-04-15 08:30:58 UTC,399,25.40,"73.90

",,,,
2021-04-15 08:31:14 UTC,400,25.30,"73.90

",,,,
2021-04-15 08:31:30 UTC,401,25.40,"74.00

",,,,
2021-04-15 08:31:45 UTC,402,25.30,"74.00

",,,,
2021-04-15 08:32:01 UTC,403,25.40,"74.20

",,,,
2021-04-15 08:32:17 UTC,404,25.40,"74.10

",,,,
2021-04-15 08:32:33 UTC,405,25.40,"74.00

",,,,
2021-04-15 08:32:49 UTC,406,25.40,"74.00

",,,,
2021-04-15 08:33:05 UTC,407,25.40,"74.10

",,,,
2021-04-15 08:33:20 UTC,408,25.40,"74.30

",,,,
2021-04-15 08:33:37 UTC,409,25.40,"74.40

",,,,
2021-04-15 08:33:53 UTC,410,25.40,"74.40

",,,,
2021-04-15 08:34:09 UTC,411,25.40,"74.20

",,,,
2021-04-15 08:34:26 UTC,412,25.50,"74.10

",,,,
2021-04-15 08:34:42 UTC,413,25.50,"74.30

",,,,
2021-04-15 08:34:57 UTC,414,25.50,"74.10

",,,,
2021-04-15 08:35:13 UTC,415,25.50,"73.90

",,,,
2021-04-15 08:35:29 UTC,416,25.50,"73.80

",,,,
2021-04-15 08:35:44 UTC,417,25.50,"73.80

",,,,
2021-04-15 08:35:59 UTC,418,25.50,"73.70

",,,,
2021-04-15 08:36:15 UTC,419,25.40,"73.60

",,,,
